
局数,金额,胜负,收益,内容,牌型
1,4,False,0,,
2,4,False,0,对子,J 5 5
3,4,False,0,单张,8 5 2
4,4.16,True,.16,对子,Q Q 4
5,4.14,False,-.02,单张,Q 4 2
6,4.12,False,-.02,顺子,9 8 7
7,4.1,False,-.02,单张,8 5 2
8,4.08,False,-.02,顺子,6 5 4
9,4.06,False,-.02,单张,K 8 4
10,4,False,-.06,顺金,8 7 6
11,4,False,0,单张,A 8 3
12,4,False,0,对子,8 8 3
13,4,False,0,单张,A 5 3
14,4.11,True,.11,对子,A 4 4
15,4,False,-.11,单张,K J 4
16,3.89,False,-.11,对子,8 8 7
17,3,False,-.89,顺子,J 10 9
18,3,False,0,单张,Q 10 3
19,3,False,0,对子,J J 9
20,3,False,0,对子,J J 6
21,3,False,0,单张,K 8 8
局数,金额,胜负,收益,内容,牌型
1,7.82,False,-.11,,
局数,金额,胜负,收益,内容,牌型
1,8.05,True,.23,,
2,8,False,-.05,金花,K 8 2
3,8,False,0,单张,Q 7 4
4,8.16,True,.16,单张,Q 6 2
5,7.45,False,-.71,金花,A 10 5
局数,金额,胜负,收益,内容,牌型
1,7,False,-.44,,
2,6.73,False,-.27,顺子,Q J 10
3,6.62,False,-.11,单张,A K 2
4,6.51,False,-.11,单张,Q J 3
5,6.4,False,-.11,对子,9 8 7
6,6,False,-.4,单张,Q 4 3
7,6,False,0,对子,A A 9
8,6,False,0,单张,K 10 8
9,6,False,0,对子,8 8 6
10,6.12,True,.12,对子,J 10 10
11,6.01,False,-.11,单张,9 8 2
12,5.9,False,-.11,单张,A 8 6
13,7.61,True,1.71,顺子,J 10 9
14,7.5,False,-.11,单张,10 7 3
15,7.48,False,-.02,单张,Q 8 2
16,7.46,False,-.02,对子,8 7 7
17,7.44,False,-.02,单张,A 10 6
18,7.42,False,-.02,单张,A K 9
19,7,False,-.42,单张,K 7 2
20,7,False,0,对子,7 7 5
21,7,False,0,对子,10 8 9
22,7,False,0,单张,K 8 7
23,7.14,True,.14,单张,8 4 2
24,7.11,False,-.03,单张,Q 10 3
25,7,False,-.11,单张,J 5 2
26,6.94,False,-.06,顺子,7 6 5
27,6.43,False,-.51,金花,Q 8 5
28,6.4,False,-.03,对子,9 3 3
29,6,False,-.4,单张,A 7 5
30,6,False,0,对子,J 5 5
31,6,False,0,顺子,4 3 2
32,5,False,-1,顺金,8 7 6
33,5.16,True,.16,对子,9 8 2
34,5.14,False,-.02,对子,A A 7
35,5.03,False,-.11,单张,A K 2
36,4.92,False,-.11,对子,6 6 4
37,4.9,False,-.02,单张,K 10 5
38,5.51,True,.61,顺金,9 8 7
39,5.4,False,-.11,对子,9 5 5
40,5,False,-.4,顺子,8 7 6
41,5,False,0,单张,Q 10 6
42,5.16,True,.16,单张,K 8 5
43,5.05,False,-.11,对子,K Q Q
44,4.54,False,-.51,顺子,6 5 4
45,4.43,False,-.11,单张,Q J 9
46,4,False,-.43,顺子,A 3 2
47,4,False,0,对子,6 4 4
48,5.02,True,1.02,顺子,Q J 10
49,6.1,True,1.08,金花,A 8 6
50,5.99,False,-.11,对子,J J 5
51,5.68,False,-.31,对子,Q Q 6
52,6.09,True,.41,顺子,10 8 8
53,5.98,False,-.11,单张,10 7 4
54,5.87,False,-.11,单张,A K 10
55,11,True,5.13,豹子,2 2 2
56,5,False,-6,金花,10 8 2
57,5,False,0,对子,10 10 4
58,5,False,0,对子,K 8 9
59,5,False,0,对子,A 7 7
60,5,False,0,单张,9 4 3
61,5,False,0,单张,A Q 5
62,5.09,True,.09,单张,10 4 2
63,5.07,False,-.02,对子,8 8 4
64,6.15,True,1.08,顺金,8 7 6
65,6.04,False,-.11,对子,Q 2 2
66,6.02,False,-.02,对子,J J 3
67,5.91,False,-.11,对子,9 2 2
68,5.89,False,-.02,顺子,8 4 3
69,5.78,False,-.11,对子,K 2 2
70,5.67,False,-.11,顺子,7 6 5
71,5.61,False,-.06,对子,8 5 4
72,5.5,False,-.11,对子,J J 3
73,5,False,-.5,单张,8 3 2
74,5,False,0,单张,K J 5
75,5.17,True,.17,单张,J 8 2
76,4.66,False,-.51,顺子,J 10 9
77,4.55,False,-.11,对子,J J 7
78,4.44,False,-.11,对子,8 4 4
79,4.42,False,-.02,单张,K 8 3
80,4,False,-.42,单张,K 6 2
81,4,False,0,单张,J 8 8
82,4,False,0,单张,J 3 2
83,4.07,True,.07,单张,J 8 7
84,3.96,False,-.11,单张,9 6 5
85,3.85,False,-.11,单张,K 8 6
86,3.14,False,-.71,顺子,Q J 10
87,3.03,False,-.11,单张,K 8 7
88,2.92,False,-.11,对子,9 8 2
89,3.82,True,.9,顺金,8 4 3
90,3,False,-.82,对子,Q Q 7
91,3,False,0,单张,A J 7
92,3.99,True,.99,顺金,8 4 3
93,3.97,False,-.02,单张,A J 8
94,3.86,False,-.11,单张,10 8 6
95,3.75,False,-.11,单张,A 10 3
96,3.64,False,-.11,单张,K 5 3
97,3,False,-.64,顺子,6 5 4
98,2.82,False,-.18,顺子,10 8 8
99,2.8,False,-.02,对子,A 8 9
100,2.78,False,-.02,单张,K 10 9
101,2.76,False,-.02,单张,Q 8 2
102,2.65,False,-.11,单张,8 3 2
103,3.16,True,.51,金花,K Q 9
104,3.05,False,-.11,单张,8 7 4
105,3.03,False,-.02,对子,K 8 8
106,3.83,True,.8,金花,A 6 3
107,3.72,False,-.11,单张,J 10 4
108,3.61,False,-.11,对子,K K 8
109,3.5,False,-.11,单张,K 5 4
110,3.48,False,-.02,单张,7 6 4
111,3,False,-.48,对子,J 4 4
112,3,False,0,单张,A 6 5
113,3,False,0,对子,8 8 2
114,2.82,False,-.18,金花,K 7 4
115,2.8,False,-.02,对子,A 6 6
116,2.78,False,-.02,对子,K 10 10
117,2.99,True,.21,金花,A 5 4
118,2.88,False,-.11,单张,7 3 2
119,2.86,False,-.02,单张,J 10 8
120,2.75,False,-.11,对子,7 7 3
121,2.64,False,-.11,单张,K 3 2
122,2.62,False,-.02,对子,A 10 10
123,3.02,True,.4,顺金,8 7 6
124,2.91,False,-.11,对子,8 8 6
125,2.8,False,-.11,单张,J 8 5
126,2.78,False,-.02,对子,K K 3
127,2.67,False,-.11,对子,10 10 4
128,2.65,False,-.02,单张,8 6 2
129,2.63,False,-.02,对子,K K 5
130,2.61,False,-.02,单张,A 8 8
131,2.72,True,.11,对子,K K 7
132,2.7,False,-.02,单张,J 8 2
133,2.68,False,-.02,顺子,9 8 7
134,2.66,False,-.02,单张,8 5 2
135,2.64,False,-.02,顺子,4 3 2
136,2.62,False,-.02,单张,A J 3
137,2.6,False,-.02,单张,K 8 8
138,2.58,False,-.02,对子,A 5 5
139,2.56,False,-.02,对子,8 2 2
140,2.54,False,-.02,顺子,10 8 8
141,2.48,False,-.06,对子,9 8 8
142,2.46,False,-.02,对子,K K 5
143,2.4,False,-.06,对子,A 8 8
144,2.7,True,.3,金花,K Q 10
145,2.68,False,-.02,单张,10 7 5
146,3.12,True,.44,金花,10 8 6
147,2.69,False,-.43,金花,9 5 4
148,4,True,1.31,金花,A 6 4
149,3.75,False,-.25,顺子,J 10 9
150,3.64,False,-.11,单张,J 4 2
151,3.62,False,-.02,对子,K K 2
152,3.51,False,-.11,顺子,A 3 2
153,3.05,False,-.46,顺子,Q J 10
154,2.83,False,-.22,顺子,J 10 9
155,2.72,False,-.11,顺子,6 5 4
156,4.97,True,2.25,豹子,10 10 10
157,4.86,False,-.11,单张,A 6 3
158,4.75,False,-.11,对子,K J J
159,4.64,False,-.11,对子,K K 9
160,4.62,False,-.02,对子,9 2 2
161,4.51,False,-.11,对子,7 7 5
162,4.4,False,-.11,单张,A K 6
163,4,False,-.4,单张,K 6 2
164,4,False,0,对子,8 3 3
165,4.16,True,.16,单张,10 8 5
166,4.14,False,-.02,单张,K 8 5
167,4.03,False,-.11,对子,7 3 3
168,3.92,False,-.11,单张,9 6 4
169,3.81,False,-.11,顺子,10 8 8
170,3.7,False,-.11,对子,10 3 3
171,3.59,False,-.11,对子,A A 5
172,3.57,False,-.02,对子,8 6 6
173,3.46,False,-.11,对子,10 7 7
174,3.44,False,-.02,单张,A 10 6
175,3,False,-.44,对子,J J 3
176,3,False,0,单张,A Q 2
177,3,False,0,单张,K J 6
178,3.51,True,.51,对子,A A 4
